=== SIMULATION DE PERFORMANCE - TOWER DEFENSE ===
Date: 2025-11-28 18:01:04
Durée: 5 minutes
Format: Temps(min:sec:ms), Total Ennemis, FPS, UPS, Ennemis actifs, Tours actives, Projectiles actifs, Mémoire utilisée (MB)
01:07:960, 34339, 30, 30, 7267, 112, 17, 72
01:10:022, 35239, 30, 30, 7351, 112, 14, 45
01:12:045, 36139, 30, 30, 7380, 112, 13, 68
01:14:060, 37039, 30, 30, 7597, 112, 10, 34
01:16:301, 38134, 28, 28, 7831, 112, 15, 60
01:18:736, 39139, 24, 24, 8179, 112, 17, 63
01:21:277, 40354, 25, 25, 8577, 112, 15, 40
01:24:040, 41404, 21, 21, 9195, 112, 20, 80
01:27:202, 42679, 18, 18, 9519, 112, 14, 82
01:30:253, 43954, 20, 20, 10075, 112, 20, 29
01:31:298, 44944, 92, 49, 10467, 112, 23, 38
01:32:349, 46054, 112, 57, 10427, 112, 22, 48
01:33:389, 47134, 110, 58, 10635, 112, 21, 40
01:34:429, 48094, 110, 58, 10930, 112, 17, 49
01:35:476, 49264, 115, 57, 10985, 112, 21, 61
01:36:518, 50299, 110, 57, 11113, 112, 21, 70
01:37:566, 51394, 109, 58, 11407, 112, 21, 82
01:38:609, 52609, 111, 57, 11447, 112, 22, 54
01:39:660, 53749, 113, 58, 11616, 112, 16, 64
01:40:706, 54964, 106, 57, 11948, 112, 22, 76
01:41:741, 55954, 110, 57, 11989, 112, 25, 29
01:42:784, 57034, 99, 58, 12194, 112, 24, 39
01:43:832, 58294, 105, 58, 12453, 112, 27, 67
01:44:873, 59284, 106, 57, 12507, 112, 23, 76
01:45:920, 60409, 101, 58, 12637, 112, 27, 32
01:46:980, 61654, 99, 57, 12962, 112, 23, 45
01:48:013, 62659, 102, 58, 13059, 112, 27, 57
01:49:056, 63709, 99, 58, 13141, 112, 27, 81
01:50:099, 64849, 90, 58, 13513, 112, 23, 34
01:51:143, 65929, 98, 57, 13602, 112, 28, 47
01:52:187, 66889, 97, 57, 13623, 112, 23, 64
01:53:222, 68044, 100, 58, 14003, 112, 29, 81
01:54:270, 69199, 103, 58, 14115, 112, 29, 39
01:55:312, 70384, 100, 58, 14258, 112, 22, 56
01:56:354, 71449, 95, 58, 14531, 112, 28, 73
01:57:395, 72529, 93, 58, 14603, 112, 26, 35
01:58:442, 73564, 83, 58, 14820, 112, 26, 41
01:59:482, 74779, 90, 57, 15034, 112, 28, 56
02:00:531, 75889, 91, 58, 15052, 112, 24, 76
02:01:574, 77074, 88, 58, 15335, 112, 28, 38
02:02:619, 77989, 79, 58, 15599, 112, 25, 54
02:03:662, 79054, 82, 57, 15675, 112, 29, 57
02:04:703, 80239, 71, 58, 15834, 112, 26, 72
02:05:743, 81289, 79, 58, 16112, 112, 23, 36
02:06:783, 82504, 68, 58, 16161, 112, 31, 56
02:07:826, 83854, 77, 58, 16332, 112, 24, 76
02:08:870, 84784, 77, 57, 16586, 112, 28, 71
02:09:913, 85924, 63, 58, 16695, 112, 28, 32
02:10:952, 87079, 59, 58, 16781, 112, 23, 53
02:11:991, 88144, 63, 58, 17226, 112, 27, 73
02:13:031, 89194, 60, 58, 17287, 112, 25, 39
02:14:079, 90199, 60, 57, 17315, 112, 27, 86
02:15:119, 91189, 62, 58, 17720, 112, 27, 49
02:16:163, 92299, 61, 58, 17763, 112, 25, 72
02:17:208, 93214, 59, 57, 17982, 112, 29, 39
02:18:251, 94159, 59, 58, 18311, 112, 27, 63
02:19:296, 95059, 58, 58, 18361, 112, 34, 40
02:20:332, 96004, 59, 58, 18510, 112, 34, 57
02:21:373, 96994, 57, 58, 18847, 112, 31, 72
02:22:414, 98014, 58, 58, 18790, 112, 30, 31
02:23:470, 99079, 58, 57, 18784, 112, 29, 37
02:24:512, 100249, 57, 58, 19294, 112, 35, 51
02:25:550, 101374, 58, 58, 19276, 112, 35, 67
02:26:590, 102349, 58, 58, 19565, 112, 28, 30
02:27:634, 103309, 59, 58, 19839, 112, 30, 49
02:28:683, 104209, 57, 58, 19831, 112, 31, 52
02:29:731, 105124, 59, 57, 19998, 112, 33, 66
02:30:780, 106219, 58, 58, 20311, 112, 34, 82
02:31:819, 107299, 58, 58, 20357, 112, 28, 40
02:32:852, 108319, 58, 58, 20433, 112, 30, 54
02:33:900, 109534, 59, 58, 20774, 112, 31, 65
02:34:940, 110524, 57, 58, 20887, 112, 32, 78
02:35:983, 111469, 58, 58, 21171, 112, 33, 40
02:37:030, 112399, 58, 58, 21371, 112, 28, 54
02:38:069, 113299, 59, 58, 21571, 112, 32, 72
02:39:123, 114199, 57, 58, 21767, 112, 29, 80
02:40:169, 115099, 59, 57, 21868, 112, 31, 37
02:41:213, 116299, 58, 58, 21925, 112, 35, 53
02:42:256, 117394, 58, 58, 22019, 112, 26, 74
02:43:303, 118519, 59, 57, 22318, 112, 32, 40
02:44:345, 119539, 58, 58, 22430, 112, 31, 41
02:45:385, 120634, 59, 58, 22602, 112, 30, 62
02:46:429, 121684, 57, 58, 22860, 112, 35, 84
02:47:471, 122734, 58, 57, 22964, 112, 29, 45
02:48:527, 123754, 57, 58, 23054, 112, 29, 39
02:49:588, 124849, 58, 57, 23428, 112, 30, 53
02:50:632, 125839, 57, 57, 23552, 112, 32, 72
02:51:770, 126754, 55, 55, 23575, 112, 34, 36
02:52:839, 127969, 55, 55, 23974, 112, 28, 56
02:53:903, 129064, 57, 57, 24017, 112, 31, 65
02:54:965, 130174, 57, 57, 24146, 112, 28, 81
02:56:016, 131344, 57, 57, 24370, 112, 32, 51
02:57:070, 132484, 57, 57, 24513, 112, 36, 75
02:58:115, 133564, 58, 58, 24713, 112, 26, 47
02:59:181, 134704, 58, 58, 24898, 112, 31, 31
03:00:337, 135814, 51, 51, 25069, 112, 31, 60
03:01:492, 136999, 53, 53, 25296, 112, 30, 30
03:02:701, 138049, 51, 51, 25498, 112, 35, 54
03:03:854, 139144, 50, 50, 25667, 112, 28, 58
03:05:020, 140329, 52, 52, 25864, 112, 31, 78
03:06:209, 141544, 53, 53, 26099, 112, 32, 50
03:07:398, 142774, 51, 51, 26194, 112, 32, 77
03:08:603, 144079, 51, 51, 26458, 112, 34, 39
03:09:814, 145324, 50, 50, 26692, 112, 28, 64
03:11:042, 146434, 50, 50, 26859, 112, 31, 41
03:12:334, 147694, 48, 48, 27093, 112, 29, 73
03:13:622, 148864, 48, 48, 27301, 112, 32, 38
03:14:890, 150139, 48, 48, 27510, 112, 35, 68
03:16:175, 151444, 47, 47, 27673, 112, 27, 48
03:17:505, 152599, 46, 46, 27965, 112, 32, 30
03:18:706, 153799, 51, 51, 28139, 112, 31, 43
03:19:947, 155029, 49, 49, 28278, 112, 30, 79
03:21:182, 156199, 49, 49, 28558, 112, 36, 66
03:22:432, 157579, 49, 49, 28749, 112, 29, 52
03:23:694, 158824, 48, 48, 28853, 112, 31, 40
03:24:959, 159964, 48, 48, 29173, 112, 31, 79
03:26:238, 161479, 47, 47, 29387, 112, 32, 69
03:27:541, 162619, 47, 47, 29400, 112, 33, 60
03:28:849, 163924, 46, 46, 29831, 112, 28, 51
03:30:128, 165439, 47, 47, 30051, 112, 33, 38
03:31:409, 166654, 48, 48, 30068, 112, 30, 82
03:32:709, 167929, 47, 47, 30549, 112, 32, 75
03:34:190, 169414, 41, 41, 30715, 112, 36, 71
03:35:721, 170674, 40, 40, 30793, 112, 26, 114
03:37:293, 172114, 38, 38, 31219, 112, 33, 39
03:38:869, 173764, 38, 38, 31488, 112, 31, 47
03:40:402, 174964, 39, 39, 31530, 112, 30, 80
03:42:019, 176344, 37, 37, 32037, 112, 35, 48
03:43:595, 177934, 39, 39, 32192, 112, 28, 86
03:45:223, 179134, 38, 38, 32289, 112, 30, 65
03:46:867, 180574, 37, 37, 32815, 112, 31, 35
03:48:490, 182179, 38, 38, 33068, 112, 32, 76
03:50:180, 183349, 37, 37, 33088, 112, 33, 62
03:51:928, 184879, 37, 37, 33678, 112, 28, 36
03:53:606, 186424, 36, 36, 33913, 112, 31, 81
03:55:329, 187639, 36, 36, 33899, 112, 30, 70
03:57:088, 189199, 35, 35, 34542, 112, 33, 47
03:58:840, 190789, 35, 35, 34719, 112, 35, 39
04:00:607, 192109, 34, 34, 34923, 112, 26, 89
04:02:501, 193609, 33, 33, 35423, 112, 32, 71
04:04:269, 195109, 35, 35, 35725, 112, 31, 71
04:05:867, 196339, 38, 38, 35982, 112, 31, 53
04:07:501, 197779, 37, 37, 36243, 112, 35, 36
04:09:165, 199219, 37, 37, 36522, 112, 28, 61
04:10:791, 200599, 37, 37, 36780, 112, 29, 46
04:12:484, 202204, 36, 36, 37065, 112, 31, 35
04:14:171, 203554, 37, 37, 37369, 112, 33, 60
04:15:945, 205009, 36, 36, 37622, 112, 34, 49
04:18:327, 206584, 23, 23, 37995, 112, 29, 41
04:20:331, 207994, 30, 30, 38395, 112, 31, 60
04:22:594, 209674, 25, 25, 38566, 112, 28, 62
04:24:746, 211339, 28, 28, 38912, 112, 32, 91
04:26:944, 213034, 27, 27, 39486, 112, 36, 93
04:29:397, 214759, 26, 26, 39636, 112, 27, 65
04:31:657, 216379, 28, 28, 40067, 112, 31, 71
04:34:075, 218104, 24, 24, 40664, 112, 30, 43
04:36:391, 219874, 26, 26, 40935, 112, 31, 57
04:38:958, 221569, 22, 22, 41388, 112, 35, 35
04:41:602, 223324, 24, 24, 41932, 112, 29, 51
04:44:236, 225124, 24, 24, 42218, 112, 29, 51
04:46:662, 226849, 25, 25, 42499, 112, 30, 73
04:49:374, 228649, 23, 23, 43125, 112, 33, 61
04:51:890, 230449, 27, 27, 43303, 112, 33, 89
04:54:392, 232249, 24, 24, 43817, 112, 30, 54
04:56:937, 233854, 26, 26, 44495, 112, 31, 67
04:59:511, 235639, 25, 25, 44884, 112, 29, 64
05:02:087, 237184, 24, 24, 45062, 112, 33, 33
05:04:751, 238939, 24, 24, 45785, 112, 37, 78
05:07:842, 240739, 21, 21, 46029, 112, 27, 41
05:11:008, 242539, 20, 20, 46421, 112, 31, 71
05:14:460, 244339, 18, 18, 47005, 112, 31, 45
05:17:785, 246139, 20, 20, 47386, 112, 30, 93
05:20:858, 247939, 20, 20, 47924, 112, 36, 64
05:23:961, 249739, 19, 19, 48358, 112, 30, 49
05:27:121, 251539, 19, 19, 48631, 112, 30, 69
05:30:286, 253339, 19, 19, 49074, 112, 31, 97
05:33:461, 255139, 19, 19, 49410, 112, 33, 86
05:36:570, 256939, 20, 20, 49602, 112, 34, 39
05:39:466, 258739, 21, 21, 49752, 112, 30, 43
05:42:365, 260539, 21, 21, 49777, 112, 33, 42
05:45:305, 262339, 21, 21, 49899, 112, 28, 101
05:48:359, 264139, 21, 21, 50038, 112, 33, 99
05:51:762, 265939, 17, 17, 50215, 112, 36, 33
05:55:050, 267739, 19, 19, 50285, 112, 27, 72
05:58:332, 269539, 19, 19, 50465, 112, 32, 65
06:01:607, 271339, 19, 19, 50405, 112, 30, 97
06:04:977, 273519, 19, 19, 50825, 112, 30, 65
06:08:295, 275639, 19, 19, 51425, 112, 35, 61
06:11:719, 278019, 18, 18, 51956, 112, 30, 99
06:15:234, 280159, 18, 18, 52447, 112, 30, 74
06:18:848, 282499, 17, 17, 53162, 112, 32, 89
06:22:170, 284899, 18, 18, 53705, 112, 33, 71
06:25:580, 287139, 18, 18, 54189, 112, 34, 99
06:29:064, 289479, 18, 18, 54856, 112, 29, 61
06:32:607, 291959, 17, 17, 55438, 112, 33, 94
06:36:231, 294259, 17, 17, 55907, 112, 29, 64
06:40:317, 296719, 15, 15, 56718, 112, 33, 64
06:44:559, 299359, 14, 14, 57432, 112, 36, 39
06:48:909, 301819, 14, 14, 58091, 112, 28, 71
06:53:557, 304339, 13, 13, 58919, 112, 32, 37
06:58:140, 306999, 13, 13, 59648, 112, 32, 89
07:02:858, 309359, 13, 13, 60294, 112, 30, 63
07:07:559, 311999, 13, 13, 61276, 112, 35, 47
07:12:215, 314719, 14, 14, 61977, 112, 30, 32
07:16:624, 317159, 14, 14, 62653, 112, 31, 65
07:21:178, 319599, 13, 13, 63520, 112, 31, 33
07:25:839, 322119, 13, 13, 64313, 112, 33, 79
07:31:074, 324519, 12, 12, 64922, 112, 34, 84
07:36:434, 327359, 12, 12, 66050, 112, 29, 102
07:41:896, 330139, 11, 11, 66889, 112, 32, 54
07:47:461, 332679, 11, 11, 67848, 112, 28, 84
07:53:186, 335379, 11, 11, 68856, 112, 33, 52
07:58:460, 338259, 12, 12, 69659, 112, 36, 86
08:03:747, 341019, 11, 11, 70502, 112, 27, 101
08:09:621, 343939, 11, 11, 71598, 112, 31, 60
08:15:732, 346919, 10, 10, 72379, 112, 31, 55
08:22:066, 349919, 10, 10, 73236, 112, 30, 102
08:28:460, 352919, 10, 10, 74618, 112, 35, 41
08:34:987, 355919, 10, 10, 75280, 112, 30, 57
08:40:994, 358919, 11, 11, 75984, 112, 30, 81
08:47:081, 361919, 10, 10, 77081, 112, 30, 87
08:53:241, 364919, 10, 10, 77763, 112, 33, 85
09:00:347, 367919, 9, 9, 78548, 112, 33, 47
09:07:772, 370919, 8, 8, 79371, 112, 30, 95
09:14:955, 373919, 9, 9, 79939, 112, 32, 85
09:22:855, 376919, 7, 7, 80446, 112, 29, 76
09:31:288, 379919, 8, 8, 81270, 112, 33, 71
09:39:247, 382919, 8, 8, 81964, 112, 36, 89
09:46:233, 385919, 9, 9, 82073, 112, 27, 88
09:54:459, 388919, 8, 8, 82744, 112, 32, 90
10:03:079, 391919, 6, 6, 83264, 112, 31, 57
10:12:289, 394919, 7, 7, 83828, 112, 30, 68
10:21:365, 397919, 7, 7, 84409, 112, 36, 118
10:29:846, 400919, 8, 8, 84678, 112, 29, 57
10:38:288, 403919, 7, 7, 85058, 112, 30, 33
10:47:186, 406919, 7, 7, 85378, 112, 30, 82
10:56:502, 409919, 7, 7, 85525, 112, 33, 102
11:06:636, 412919, 7, 7, 85772, 112, 33, 95
11:16:557, 415919, 7, 7, 85954, 112, 30, 86
11:26:052, 418919, 7, 7, 86069, 112, 32, 49
11:35:600, 421919, 7, 7, 86324, 112, 28, 100
11:45:513, 424919, 7, 7, 86411, 112, 32, 91
11:55:257, 427919, 6, 6, 86451, 112, 35, 66
12:04:679, 430919, 7, 7, 86503, 112, 28, 33
12:13:666, 433919, 7, 7, 86594, 112, 31, 93
12:22:974, 436919, 6, 6, 86676, 112, 32, 104
12:32:347, 439919, 7, 7, 86603, 112, 30, 60
12:41:760, 442919, 7, 7, 86615, 112, 36, 109
12:50:479, 445919, 7, 7, 86511, 112, 30, 33
12:58:814, 448919, 8, 8, 86498, 112, 30, 57
13:06:807, 451919, 7, 7, 86194, 112, 31, 96
