=== SIMULATION DE PERFORMANCE - TOWER DEFENSE ===
Date: 2025-11-18 19:33:16
Durée: 5 minutes
Format: Temps(min:sec:ms), Total Ennemis, FPS, UPS, Ennemis actifs, Tours actives, Projectiles actifs, Mémoire utilisée (MB)
00:49:017, 27310, 95, 59, 4699, 112, 17, 48
00:50:020, 27910, 102, 59, 5042, 112, 22, 49
00:51:035, 28450, 97, 59, 4921, 112, 15, 50
00:52:026, 28940, 59, 54, 5060, 112, 20, 51
00:53:026, 29400, 48, 48, 5142, 112, 20, 52
00:54:027, 29880, 48, 48, 5186, 112, 21, 53
00:55:037, 30280, 39, 39, 5299, 112, 19, 55
00:56:025, 30760, 50, 50, 5299, 112, 23, 55
00:57:009, 31250, 46, 46, 5502, 112, 22, 57
00:58:022, 31770, 54, 52, 5387, 112, 18, 58
01:00:030, 32630, 40, 40, 5588, 112, 25, 60
01:01:021, 33100, 42, 42, 5715, 112, 24, 61
01:02:043, 33510, 48, 48, 5604, 112, 28, 62
01:04:028, 34310, 38, 38, 5887, 112, 31, 63
01:06:018, 35060, 38, 38, 5939, 112, 25, 65
01:07:052, 35490, 50, 49, 5747, 112, 19, 66
01:08:074, 35790, 30, 30, 5881, 112, 25, 67
01:09:038, 36090, 31, 31, 6054, 112, 28, 68
01:10:046, 36380, 29, 29, 5822, 112, 31, 68
01:12:064, 36980, 32, 32, 6090, 112, 25, 70
01:13:029, 37280, 31, 31, 5929, 112, 29, 71
01:14:034, 37590, 30, 30, 5999, 112, 24, 71
01:15:025, 38130, 51, 51, 6064, 112, 30, 73
01:16:022, 38730, 60, 60, 6460, 112, 24, 74
01:17:020, 39320, 60, 59, 6246, 112, 30, 76
01:18:032, 39710, 42, 43, 6464, 112, 30, 77
01:19:022, 40210, 50, 50, 6322, 112, 26, 78
01:20:028, 40730, 52, 52, 6582, 112, 23, 79
01:21:021, 41260, 53, 53, 6490, 112, 26, 81
01:22:011, 41850, 58, 58, 6427, 112, 30, 82
01:24:026, 42950, 56, 56, 6501, 112, 24, 85
01:27:022, 44450, 53, 53, 6718, 112, 27, 89
01:28:014, 44970, 52, 52, 6788, 112, 26, 91
01:29:036, 45480, 54, 54, 6785, 112, 26, 92
01:30:015, 45990, 50, 50, 6802, 112, 29, 93
01:31:016, 46580, 59, 59, 6753, 112, 32, 95
01:34:022, 48180, 58, 58, 7036, 112, 33, 99
01:37:039, 49610, 45, 45, 7266, 112, 43, 104
01:41:044, 50840, 34, 34, 7327, 112, 40, 107
01:42:036, 51250, 34, 34, 7361, 112, 34, 108
01:43:022, 51590, 43, 43, 7482, 112, 32, 109
01:44:034, 51980, 35, 35, 7435, 112, 28, 111
01:45:038, 52390, 39, 39, 7629, 112, 38, 112
01:46:022, 52820, 42, 42, 7696, 112, 40, 113
01:48:021, 53580, 41, 41, 7658, 112, 39, 115
01:49:028, 54000, 37, 37, 7757, 112, 37, 117
01:50:041, 54420, 42, 42, 7820, 112, 43, 118
01:51:020, 54960, 43, 43, 7814, 112, 34, 120
01:52:020, 55540, 59, 59, 7804, 112, 38, 122
01:53:022, 56040, 56, 56, 7936, 112, 41, 123
01:54:022, 56440, 52, 52, 7845, 112, 26, 124
01:55:023, 57000, 40, 40, 7975, 112, 34, 126
01:56:020, 57590, 58, 58, 8009, 112, 36, 128
01:58:027, 58620, 55, 56, 8108, 112, 45, 131
01:59:026, 59210, 49, 49, 8078, 112, 30, 133
02:01:032, 60320, 60, 60, 8375, 112, 43, 137
02:02:050, 60700, 45, 45, 8244, 112, 31, 138
02:04:018, 61480, 38, 38, 8345, 112, 27, 141
02:05:018, 62050, 51, 51, 8372, 112, 40, 143
02:06:017, 62640, 59, 59, 8176, 112, 39, 145
02:07:032, 63200, 60, 60, 8383, 112, 33, 146
02:08:013, 63690, 51, 51, 8290, 112, 26, 148
02:09:027, 64280, 57, 57, 8368, 112, 38, 150
02:10:029, 64850, 57, 57, 8332, 112, 38, 152
02:11:024, 65430, 59, 59, 8199, 112, 33, 154
02:12:030, 66000, 59, 59, 8351, 112, 33, 156
02:13:020, 66450, 47, 47, 8348, 112, 30, 157
02:16:063, 67300, 18, 18, 8471, 112, 36, 160
02:17:052, 67470, 19, 19, 8641, 112, 27, 161
02:21:033, 68200, 18, 18, 8558, 112, 29, 163
02:22:028, 68720, 43, 43, 8700, 112, 28, 18
02:24:023, 69790, 58, 58, 8792, 112, 40, 22
02:25:022, 70340, 55, 55, 8934, 112, 44, 23
02:26:025, 70930, 60, 60, 8826, 112, 34, 26
02:28:037, 71570, 24, 24, 8941, 112, 41, 28
02:29:034, 71950, 37, 37, 9007, 112, 30, 29
02:31:035, 72810, 48, 48, 9008, 112, 38, 32
02:32:030, 73370, 57, 57, 9215, 112, 39, 34
02:33:028, 73840, 47, 47, 9114, 112, 37, 36
02:34:028, 74400, 57, 57, 9312, 112, 36, 38
02:35:035, 74930, 53, 53, 9464, 112, 35, 40
02:38:023, 76410, 45, 45, 9575, 112, 37, 46
02:39:034, 76800, 39, 39, 9719, 112, 39, 47
02:43:041, 78600, 46, 46, 9907, 112, 40, 54
02:44:026, 78980, 39, 39, 9792, 112, 29, 56
02:45:027, 79410, 39, 39, 9972, 112, 47, 57
02:46:030, 79870, 44, 44, 9978, 112, 44, 59
02:47:042, 80330, 47, 47, 10094, 112, 45, 61
02:48:051, 80610, 45, 45, 10219, 112, 44, 62
02:51:031, 81760, 44, 44, 10535, 112, 44, 68
02:53:042, 82280, 26, 26, 10613, 112, 42, 69
02:54:053, 82550, 25, 25, 10725, 112, 43, 70
02:57:037, 83460, 29, 29, 10920, 112, 42, 74
02:58:041, 83790, 39, 39, 10861, 112, 43, 76
02:59:025, 84180, 33, 33, 11010, 112, 43, 77
03:00:028, 84560, 40, 40, 11114, 112, 41, 79
03:03:035, 85640, 39, 39, 11094, 112, 50, 84
03:06:041, 86730, 38, 38, 11233, 112, 31, 89
03:07:040, 87090, 38, 38, 11294, 112, 43, 90
03:09:035, 87790, 36, 36, 11363, 112, 43, 93
03:10:040, 88150, 37, 37, 11382, 112, 46, 96
03:16:041, 90210, 37, 37, 11514, 112, 40, 105
03:26:215, 91910, 11, 11, 11641, 112, 50, 112
03:29:159, 92230, 11, 11, 11694, 112, 33, 113
03:37:130, 93090, 10, 10, 11728, 112, 42, 117
03:52:126, 94120, 9, 9, 11808, 112, 42, 123
04:00:060, 94920, 20, 20, 11881, 112, 47, 126
04:02:050, 95280, 19, 19, 11882, 112, 42, 128
04:04:089, 95620, 17, 17, 11990, 112, 45, 130
04:07:052, 96220, 24, 24, 12062, 112, 36, 133
04:08:044, 96470, 24, 24, 12195, 112, 39, 134
04:10:038, 97010, 26, 26, 12248, 112, 39, 136
04:13:043, 97790, 22, 22, 12279, 112, 42, 140
04:14:039, 98110, 32, 32, 12388, 112, 45, 141
04:18:065, 99140, 30, 30, 12495, 112, 50, 146
04:21:038, 99850, 21, 21, 12587, 112, 41, 150
04:24:041, 100670, 24, 24, 12673, 112, 48, 154
04:26:042, 101260, 29, 29, 12633, 112, 38, 157
04:27:045, 101490, 27, 27, 12612, 112, 35, 158
04:35:101, 102370, 11, 11, 12639, 112, 46, 17
04:37:023, 103100, 43, 43, 12731, 112, 42, 21
04:38:026, 103430, 37, 37, 12707, 112, 43, 22
04:39:074, 103690, 30, 30, 12721, 112, 39, 23
04:40:045, 103860, 17, 17, 12653, 112, 42, 24
04:44:054, 104840, 22, 22, 12678, 112, 43, 29
04:46:055, 105360, 27, 27, 12667, 112, 46, 32
04:48:050, 105980, 34, 34, 12593, 112, 34, 35
04:51:031, 106900, 31, 31, 12588, 112, 45, 40
04:52:026, 107290, 37, 37, 12652, 112, 44, 41
04:53:038, 107620, 40, 40, 12757, 112, 43, 43
04:54:029, 107980, 32, 32, 12740, 112, 31, 45
04:56:030, 108730, 39, 39, 12760, 112, 34, 49

================================================
Simulation terminée!
Total d'ennemis générés: 110090
================================================
